|Ticker| 🗓️Pg  |Tipo| Valor  |
|------|:-----:|---:|-------:|
|AIEC  | 09-10 |R   |R$ 0,76
|AAZQ  | 16-10 |R   |R$ 0,12
|AGRX  | 16-10 |R   |R$ 0,15
|CXCI  | 16-10 |R   |R$ 0,85
|CXCO  | 16-10 |R   |R$ 0,74
|CEOC  | 16-10 |R   |R$ 0,43
|CJCT  | 16-10 |R   |R$ 0,08
|CRAA  | 16-10 |R   |R$ 1,30
|DVFF  | 16-10 |R   |R$ 0,80
|DPRO  | 16-10 |R   |R$ 0,60
|CYCR  | 16-10 |R   |R$ 0,10
|DCRA  | 16-10 |R   |R$ 0,12
|DEVA  | 16-10 |R   |R$ 0,49
|FIIP  | 16-10 |R   |R$ 1,44
|FINF  | 16-10 |R   |R$ 0,29
|FISC  | 16-10 |R   |R$ 0,45
|FLCR  | 16-10 |R   |R$ 1,00
|FLMA  | 16-10 |R   |R$ 1,05
|FLRP  | 16-10 |R   |R$ 13,50
|FPAB  | 16-10 |R   |R$ 0,90
|FPNG  | 16-10 |R   |R$ 0,44
|ERPA  | 16-10 |R   |R$ 0,72
|EURO  | 16-10 |R   |R$ 1,88
|FAED  | 16-10 |R   |R$ 1,50
|FATN  | 16-10 |R   |R$ 0,85
|FGAA  | 16-10 |R   |R$ 0,12
|FIGS  | 16-10 |R   |R$ 0,45
|EGAF  | 16-10 |R   |R$ 1,29
|GCRA  | 16-10 |R   |R$ 1,10
|OIAG  | 16-10 |R   |R$ 0,13
|NVIF  | 16-10 |R   |R$ 0,89
|PEMA  | 16-10 |R   |R$ 0,68
|PLCA  | 16-10 |R   |R$ 1,10
|PLCR  | 16-10 |R   |R$ 0,90
|PMFO  | 16-10 |R   |R$ 0,88
|MAXR  | 16-10 |R   |R$ 0,73
|MFAI  | 16-10 |R   |R$ 0,50
|MFCR  | 16-10 |R   |R$ 1,33
|MFII  | 16-10 |R   |R$ 1,08
|MGRI  | 16-10 |R   |R$ 1,66
|MXRF  | 16-10 |R   |R$ 0,11
|MYDW  | 16-10 |A   |R$ 100,00
|NCHB  | 16-10 |R   |R$ 0,73
|NCRI  | 16-10 |R   |R$ 0,07
|NEWL  | 16-10 |R   |R$ 0,95
|NEWU  | 16-10 |R   |R$ 0,20
|ARXD  | 16-10 |R   |R$ 1,10
|KNRI  | 16-10 |R   |R$ 1,00
|LGCP  | 16-10 |R   |R$ 0,64
|LPLP  | 16-10 |A   |R$ 15,95
|LPLP  | 16-10 |R   |R$ 6,78
|LSAG  | 16-10 |R   |R$ 1,50
|LSPA  | 16-10 |R   |R$ 0,81
