|Ticker| 🗓️Pg  |Tipo| Valor  |
|------|:-----:|---:|-------:|
|AIEC  | 09-10 |R   |R$ 0,76
|HGLG  | 16-10 |R   |R$ 1,10
|HGPO  | 16-10 |R   |R$ 1,50
|HGRE  | 16-10 |R   |R$ 0,78
|HGRU  | 16-10 |R   |R$ 0,85
|HLOG  | 16-10 |R   |R$ 0,65
|HOFC  | 16-10 |R   |R$ 0,11
|HPDP  | 16-10 |R   |R$ 0,53
|HREC  | 16-10 |R   |R$ 0,85
|HSLG  | 16-10 |R   |R$ 0,74
|HSRE  | 16-10 |R   |R$ 0,60
|HUCG  | 16-10 |R   |R$ 0,20
|HUSC  | 16-10 |R   |R$ 0,92
|HUSI  | 16-10 |R   |R$ 8,41
|IAAG  | 16-10 |R   |R$ 0,08
|IAGR  | 16-10 |R   |R$ 1,32
|ITIP  | 16-10 |R   |R$ 0,67
|ITIT  | 16-10 |R   |R$ 0,57
|JBFO  | 16-10 |R   |R$ 0,28
|JFLL  | 16-10 |R   |R$ 0,62
|JGPX  | 16-10 |R   |R$ 0,80
|JPPA  | 16-10 |R   |R$ 1,10
|JSAF  | 16-10 |R   |R$ 1,00
|JSRE  | 16-10 |R   |R$ 0,46
|HBCR  | 16-10 |R   |R$ 0,53
|HBRH  | 16-10 |R   |R$ 0,52
|HCHG  | 16-10 |R   |R$ 0,55
|HFOF  | 16-10 |R   |R$ 0,63
|HGBS  | 16-10 |R   |R$ 2,00
|HGCR  | 16-10 |R   |R$ 1,10
|HGFF  | 16-10 |R   |R$ 0,70
|FIIP  | 16-10 |R   |R$ 1,44
|FINF  | 16-10 |R   |R$ 0,29
|FISC  | 16-10 |R   |R$ 0,45
|FLMA  | 16-10 |R   |R$ 1,05
|FLRP  | 16-10 |R   |R$ 13,50
|FPAB  | 16-10 |R   |R$ 0,90
|FPNG  | 16-10 |R   |R$ 0,44
|RZAG  | 16-10 |R   |R$ 0,13
|SADI  | 16-10 |R   |R$ 1,00
|SARE  | 16-10 |R   |R$ 0,45
|SCPF  | 16-10 |R   |R$ 0,02
|SEED  | 16-10 |R   |R$ 0,77
|SHPH  | 16-10 |R   |R$ 3,75
|SHSO  | 16-10 |R   |R$ 0,82
|SPVJ  | 16-10 |R   |R$ 0,67
|TCPF  | 16-10 |R   |R$ 1,68
|TEPP  | 16-10 |R   |R$ 0,58
|TGAR  | 16-10 |R   |R$ 1,43
|REIT  | 16-10 |A   |R$ 3,80
|REIT  | 16-10 |R   |R$ 2,13
|REIT  | 16-10 |A   |R$ 3,80
|RFOF  | 16-10 |R   |R$ 0,75
